,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Labour, Employment, Wages and Productivity",,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Unemployment,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Average Resident Unemployment Rate By Sex, Age And Highest Qualification Attained (HQA), Annual",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 30/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,
Source: MINISTRY OF MANPOWER,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Per Cent
"Data are based on Singapore Residents.  Annual average unemployment figures have been revised to use seasonally adjusted (SA) data where available, in place of non-seasonally adjusted (NSA) data.  This revision ensures the figures more accurately reflect the unemployment situation.  Data for June 1995, 2000 and 2005 were obtained from the General Household Survey (June 1995 and 2005) and Population Census (June 2000) conducted by the Singapore Department of Statistics.  The Labour Force Survey was not conducted in these periods.  Please refer to the Sustainable Development Goals (SDG) Global Metadata (https://unstats.un.org/sdgs/metadata) for more information on SDG 8.5.2.",,,,,,,,,,,,,,,,,,,,,,,,,
Total (Per Cent):,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are used for SDG 8.5.2 'Unemployment rate, by sex, age and persons with disabilities'.",,,,,,,,,,,,,,,,,,,,,,,,,
Sex: Male (Per Cent):,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are used for SDG 8.5.2 'Unemployment rate, by sex, age and persons with disabilities'.",,,,,,,,,,,,,,,,,,,,,,,,,
Sex: Female (Per Cent):,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are used for SDG 8.5.2 'Unemployment rate, by sex, age and persons with disabilities'.",,,,,,,,,,,,,,,,,,,,,,,,,
Age Group (Years): 25 & Over (Per Cent):,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are used for SDG 8.5.2 'Unemployment rate, by sex, age and persons with disabilities'.",,,,,,,,,,,,,,,,,,,,,,,,,
Age Group (Years): 15 - 24 (Per Cent):,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are used for SDG 8.5.2 'Unemployment rate, by sex, age and persons with disabilities'.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Highest Qualification Attained:,,,,,,,,,,,,,,,,,,,,,,,,,
"Highest Qualification Attained (HQA) refers to the highest grade or standard a person has passed or the highest level where a vocational/skill certificate, diploma, or degree is awarded. This is achieved either through full-time or part-time study in a structured educational programme. The Singapore Standard Educational Classification (SSEC) is used to classify persons by HQA.",,,,,,,,,,,,,,,,,,,,,,,,,
Unemployment Rate:,,,,,,,,,,,,,,,,,,,,,,,,,
Refer to the percentage of unemployed residents aged 15 years and over to the resident labour force.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 05/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,
